,day,true,predict,time_1,time_2,time_3,mse,mad
498,2022-02-24,544.75,427.5696906190263,0,0,1,13731.224906620715,117.18030938097371
499,2022-02-25,290.44,259.61800837540994,1,0,0,949.9951677062995,30.821991624590055
500,2022-02-25,723.5,748.9916065425472,0,1,0,649.8220041200339,25.491606542547174
501,2022-02-25,524.56,536.5326842617186,0,0,1,143.34516843080556,11.972684261718655
502,2022-02-26,282.75,116.22054619797079,1,0,0,27732.058983602175,166.5294538020292
503,2022-02-26,351.25,727.0361152353444,0,1,0,141215.20440367152,375.78611523534437
504,2022-02-26,312.06,429.1699991895354,0,0,1,13714.751910172985,117.10999918953542
505,2022-02-27,282.07,149.90580083300515,1,0,0,17467.375541453082,132.16419916699485
506,2022-02-27,440.12,671.1957240615734,0,1,0,53395.99025058041,231.0757240615734
507,2022-02-27,310.19,437.22502982840615,0,0,1,16137.89880350404,127.03502982840615
508,2022-02-28,288.25,154.12490004060095,1,0,0,17989.542439118788,134.12509995939905
509,2022-02-28,352.0,923.9055575827454,0,1,0,327075.96679403086,571.9055575827454
510,2022-02-28,332.69,475.1782357337408,0,0,1,20302.897322514087,142.4882357337408
511,2022-03-01,299.18,354.9248265983887,1,0,0,3107.4856924844207,55.74482659838867
512,2022-03-01,817.0699999999999,957.0469210415002,0,1,0,19593.53842425841,139.9769210415003
513,2022-03-01,648.5600000000001,615.1043910194928,0,0,1,1119.2777722565963,33.455608980507236
514,2022-03-02,307.56,385.3384946948401,1,0,0,6049.4942369952705,77.7784946948401
515,2022-03-02,863.13,840.2869050831905,0,1,0,521.8069853783676,22.84309491680949
516,2022-03-02,737.5,598.8178802630642,0,0,1,19232.730334729786,138.68211973693576
517,2022-03-03,325.56,341.56110041994765,1,0,0,256.03521464924876,16.001100419947647
518,2022-03-03,872.5,1031.5640343221205,0,1,0,25301.36701482873,159.0640343221205
519,2022-03-03,604.19,685.2283859019805,0,0,1,6567.219989598297,81.0383859019804
520,2022-03-04,641.88,692.1460775361473,0,0,1,2526.6785508699772,50.26607753614735
521,2022-03-05,308.06,209.17146699772127,1,0,0,9778.94195934277,98.88853300227873
522,2022-03-05,914.37,745.7128289054796,0,1,0,28445.24136160634,168.65717109452044
523,2022-03-05,408.0,472.4477740155819,0,0,1,4153.515575563513,64.4477740155819
524,2022-03-06,311.75,196.28412615655867,1,0,0,13332.36802242951,115.46587384344133
525,2022-03-06,622.38,635.6446147688029,0,1,0,175.9500049647429,13.264614768802858
526,2022-03-06,381.81,406.62483445926773,0,0,1,615.7760092408611,24.81483445926773
527,2022-03-07,322.81,315.8360954376768,1,0,0,48.63534484439213,6.973904562323185
528,2022-03-07,805.69,551.5153775239886,0,1,0,64604.738710822945,254.17462247601145
529,2022-03-07,541.81,423.43957182422844,0,0,1,14011.558266515482,118.37042817577151
530,2022-03-08,294.25,225.28008346502122,1,0,0,4756.849386841939,68.96991653497878
531,2022-03-08,776.3199999999999,777.3854283481229,0,1,0,1.1351375649840278,1.065428348122964
532,2022-03-08,609.6800000000001,542.6766297003471,0,0,1,4489.451631512414,67.00337029965294
533,2022-03-09,310.32,252.3226966156842,1,0,0,3363.687199852367,57.997303384315785
534,2022-03-09,798.06,1048.1013718751847,0,1,0,62520.68764922442,250.04137187518472
